Species	RefSeq ID	Name
Staphylococcus aureus	GCF_000969225.1	ASM96922v1
Escherichia coli	GCF_029536615.1	ASM2953661v1
Escherichia coli	GCF_030708035.1	ASM3070803v1
Salmonella enterica	GCF_028893175.1	ASM2889317v1
Pseudomonas aeruginosa	GCF_023066845.1	ASM2306684v1
Escherichia coli	GCF_024918035.1	ASM2491803v1
Escherichia coli	GCF_002764015.1	ASM276401v1
Escherichia coli	GCF_016903855.1	ASM1690385v1
Enterococcus faecalis	GCF_036542485.1	ASM3654248v1
Escherichia coli	GCF_963575795.1	GENOMIC21-004
Pseudomonas aeruginosa	GCF_033223225.1	ASM3322322v1
Listeria monocytogenes	GCF_013177375.1	ASM1317737v1
Salmonella enterica	GCF_009664795.1	ASM966479v1
Salmonella enterica	GCF_001185245.1	ASM118524v1
Escherichia coli	GCF_001890325.1	ASM189032v1
Bacillus subtilis	GCF_022701095.1	ASM2270109v1
Staphylococcus aureus	GCF_001298325.2	ASM129832v2
Staphylococcus aureus	GCF_032808505.1	ASM3280850v1
Escherichia coli	GCF_030296095.1	ASM3029609v1
Escherichia coli	GCF_014168835.1	ASM1416883v1
Staphylococcus aureus	GCF_022532145.1	ASM2253214v1
Escherichia coli	GCF_002116715.2	ASM211671v2
Escherichia coli	GCF_024918015.1	ASM2491801v1
Pseudomonas aeruginosa	GCF_033219075.1	ASM3321907v1
Staphylococcus aureus	GCF_030533625.1	ASM3053362v1
Escherichia coli	GCF_005222365.1	ASM522236v1
Staphylococcus aureus	GCF_900324255.1	2_LA_86
Escherichia coli	GCF_003031815.1	ASM303181v1
Escherichia coli	GCF_017165055.1	ASM1716505v1
Escherichia coli	GCF_003019115.1	ASM301911v1
Listeria monocytogenes	GCF_021391455.1	ASM2139145v1
Staphylococcus aureus	GCF_900474735.1	40871_F01
Salmonella enterica	GCF_032938035.1	ASM3293803v1
Escherichia coli	GCF_037539565.1	ASM3753956v1
Escherichia coli	GCF_027570235.2	ASM2757023v2
Salmonella enterica	GCF_037823755.1	ASM3782375v1
Pseudomonas aeruginosa	GCF_013260445.1	ASM1326044v1
Escherichia coli	GCF_003018795.1	ASM301879v1
Enterococcus faecalis	GCF_029000425.1	ASM2900042v1
Escherichia coli	GCF_030389925.1	ASM3038992v1
Staphylococcus aureus	GCF_009912295.1	ASM991229v1
Salmonella enterica	GCF_001652385.2	ASM165238v2
Staphylococcus aureus	GCF_007826355.1	ASM782635v1
Salmonella enterica	GCF_009729975.1	ASM972997v1
Escherichia coli	GCF_000988465.1	ASM98846v1
Escherichia coli	GCF_022493375.1	ASM2249337v1
Pseudomonas aeruginosa	GCF_021497325.1	ASM2149732v1
Salmonella enterica	GCF_019426245.1	ASM1942624v1
Salmonella enterica	GCF_012051625.1	ASM1205162v1
Escherichia coli	GCF_004022505.2	ASM402250v2
Salmonella enterica	GCF_000732045.2	ASM73204v2
Escherichia coli	GCF_021534925.1	ASM2153492v1
Listeria monocytogenes	GCF_026976295.1	ASM2697629v1
Listeria monocytogenes	GCF_018336755.1	ASM1833675v1
Escherichia coli	GCF_011045295.1	ASM1104529v1
Pseudomonas aeruginosa	GCF_032231085.1	ASM3223108v1
Salmonella enterica	GCF_023612355.1	ASM2361235v1
Salmonella enterica	GCF_009497855.1	ASM949785v1
Escherichia coli	GCF_955652485.1	ARM42.1
Escherichia coli	GCF_025946545.1	ASM2594654v1
Staphylococcus aureus	GCF_013187685.1	ASM1318768v1
Escherichia coli	GCF_029988835.1	ASM2998883v1
Salmonella enterica	GCF_005160385.1	ASM516038v1
Escherichia coli	GCF_025369735.1	ASM2536973v1
Pseudomonas aeruginosa	GCF_021513375.1	ASM2151337v1
Escherichia coli	GCF_037525705.1	ASM3752570v1
Listeria monocytogenes	GCF_029872235.2	ASM2987223v2
Listeria monocytogenes	GCF_029872415.2	ASM2987241v2
Escherichia coli	GCF_029625135.1	ASM2962513v1
Pseudomonas aeruginosa	GCF_039622815.1	ASM3962281v1
Escherichia coli	GCF_003308975.1	ASM330897v1
Listeria monocytogenes	GCF_000307065.1	ASM30706v1
Salmonella enterica	GCF_026153595.1	ASM2615359v1
Escherichia coli	GCF_002285755.1	ASM228575v1
Escherichia coli	GCF_900622635.1	B36
Enterococcus faecalis	GCF_022213025.1	ASM2221302v1
Escherichia coli	GCF_025369695.1	ASM2536969v1
Escherichia coli	GCF_030996645.1	ASM3099664v1
Salmonella enterica	GCF_024364825.1	ASM2436482v1
Escherichia coli	GCF_014863645.1	ASM1486364v1
Escherichia coli	GCF_037561805.1	ASM3756180v1
Escherichia coli	GCF_029989965.1	ASM2998996v1
Enterococcus faecalis	GCF_002355755.1	ASM235575v1
Escherichia coli	GCF_022493875.1	ASM2249387v1
Escherichia coli	GCF_030166535.1	ASM3016653v1
Salmonella enterica	GCF_037779835.1	ASM3777983v1
Staphylococcus aureus	GCF_002000685.1	ASM200068v1
Listeria monocytogenes	GCF_002214105.1	ASM221410v1
Salmonella enterica	GCF_014394985.2	ASM1439498v2
Staphylococcus aureus	GCF_007813675.1	ASM781367v1
Staphylococcus aureus	GCF_034033475.1	ASM3403347v1
Escherichia coli	GCF_037101415.1	ASM3710141v1
Escherichia coli	GCF_030013865.1	ASM3001386v1
Escherichia coli	GCF_016903995.1	ASM1690399v1
Escherichia coli	GCF_006537505.2	ASM653750v3
Salmonella enterica	GCF_020736345.1	ASM2073634v1
Escherichia coli	GCF_037275385.1	ASM3727538v1
Escherichia coli	GCF_022559685.1	ASM2255968v1
Staphylococcus aureus	GCF_024723375.2	ASM2472337v2
Staphylococcus aureus	GCF_001986135.1	ASM198613v1
Enterococcus faecalis	GCF_000550745.1	ASM55074v1
Salmonella enterica	GCF_037774005.1	ASM3777400v1
Staphylococcus aureus	GCF_009912555.1	ASM991255v1
Escherichia coli	GCF_020423225.1	ASM2042322v1
Bacillus subtilis	GCF_035658515.1	ASM3565851v1
Staphylococcus aureus	GCF_003193705.1	ASM319370v1
Escherichia coli	GCF_008124205.1	ASM812420v1
Escherichia coli	GCF_005484365.1	ASM548436v1
Salmonella enterica	GCF_037784635.1	ASM3778463v1
Escherichia coli	GCF_008761495.2	ASM876149v2
Escherichia coli	GCF_002741435.1	ASM274143v1
Bacillus subtilis	GCF_905312035.2	NRS6120B
Salmonella enterica	GCF_000430105.1	ASM43010v1
Listeria monocytogenes	GCF_001999085.1	ASM199908v1
Bacillus subtilis	GCF_033403035.1	ASM3340303v1
Pseudomonas aeruginosa	GCF_040571335.1	MRSN100690
Salmonella enterica	GCF_037844905.1	ASM3784490v1
Escherichia coli	GCF_000493595.2	EcoPMV1
Staphylococcus aureus	GCF_001611345.1	ASM161134v1
Staphylococcus aureus	GCF_000815245.1	ASM81524v1
Staphylococcus aureus	GCF_030533915.1	ASM3053391v1
Escherichia coli	GCF_000023365.1	ASM2336v1
Bacillus subtilis	GCF_024508195.1	ASM2450819v1
Staphylococcus aureus	GCF_040702945.1	ASM4070294v1
Salmonella enterica	GCF_016454345.1	ASM1645434v1
Pseudomonas aeruginosa	GCF_900497025.1	ASM90049702v1
Staphylococcus aureus	GCF_013307025.1	ASM1330702v1
Escherichia coli	GCF_025369715.1	ASM2536971v1
Bacillus subtilis	GCF_003665335.1	ASM366533v1
Staphylococcus aureus	GCF_009912255.1	ASM991225v1
Escherichia coli	GCF_036501905.1	ASM3650190v1
Escherichia coli	GCF_024584945.1	ASM2458494v1
Bacillus subtilis	GCF_027923485.1	ASM2792348v1
Salmonella enterica	GCF_001975605.1	ASM197560v1
Escherichia coli	GCF_038396705.1	ASM3839670v1
Pseudomonas aeruginosa	GCF_001687285.1	ASM168728v1
Escherichia coli	GCF_008642415.1	ASM864241v1
Salmonella enterica	GCF_003718055.1	ASM371805v1
Pseudomonas aeruginosa	GCF_038397815.1	ASM3839781v1
Escherichia coli	GCF_025995895.1	ASM2599589v1
Staphylococcus aureus	GCF_002355355.1	ASM235535v1
Escherichia coli	GCF_013167875.1	ASM1316787v1
Escherichia coli	GCF_001721125.1	ASM172112v1
Bacillus subtilis	GCF_037997165.1	ASM3799716v1
Enterococcus faecalis	GCF_012594215.1	ASM1259421v1
Escherichia coli	GCF_030295525.1	ASM3029552v1
Escherichia coli	GCF_022494785.1	ASM2249478v1
Escherichia coli	GCF_019614825.1	ASM1961482v1
Staphylococcus aureus	GCF_001717645.1	ASM171764v3
Staphylococcus aureus	GCF_038024695.1	WGS_using_MinION_R10.4.1_of_Staphylococcus_aureus_TUM22750
Escherichia coli	GCF_021378315.1	ASM2137831v1
Escherichia coli	GCF_029536675.1	ASM2953667v1
Listeria monocytogenes	GCF_900637785.1	52592_C02
Escherichia coli	GCF_001932515.1	ASM193251v1
Pseudomonas aeruginosa	GCF_036233255.1	ASM3623325v1
Escherichia coli	GCF_001558995.2	ASM155899v2
Pseudomonas aeruginosa	GCF_001516265.1	ASM151626v1
Pseudomonas aeruginosa	GCF_007559065.1	ASM755906v1
Escherichia coli	GCF_036496145.1	ASM3649614v1
Escherichia coli	GCF_008462425.1	ASM846242v1
Staphylococcus aureus	GCF_007726565.1	ASM772656v1
Salmonella enterica	GCF_030122395.1	ASM3012239v1
Salmonella enterica	GCF_037888865.1	ASM3788886v1
Staphylococcus aureus	GCF_000815125.1	ASM81512v1
Escherichia coli	GCF_016756455.1	ASM1675645v1
Salmonella enterica	GCF_020715045.1	ASM2071504v1
Pseudomonas aeruginosa	GCF_007559085.1	ASM755908v1
