"Internal identifier"	"Strain name"
0	"NCBI Strain GCF_004358965.1_ASM435896v1_genomic_concatenated"
1	"NCBI Strain GCF_004358985.1_ASM435898v1_genomic_concatenated"
2	"NCBI Strain GCF_004368015.1_ASM436801v1_genomic_concatenated"
3	"NCBI Strain GCF_004526255.1_ASM452625v1_genomic_concatenated"
4	"NCBI Strain GCF_004564175.1_ASM456417v1_genomic_concatenated"
5	"NCBI Strain GCF_004759025.1_ASM475902v1_genomic_concatenated"
6	"NCBI Strain GCF_004771135.1_ASM477113v1_genomic_concatenated"
7	"NCBI Strain GCF_004771235.1_ASM477123v1_genomic_concatenated"
8	"NCBI Strain GCF_004792495.1_ASM479249v1_genomic_concatenated"
9	"NCBI Strain GCF_004799585.1_ASM479958v1_genomic_concatenated"
10	"NCBI Strain GCF_004801575.1_ASM480157v1_genomic_concatenated"
11	"NCBI Strain GCF_004804185.1_ASM480418v1_genomic_concatenated"
12	"NCBI Strain GCF_004804205.1_ASM480420v1_genomic_concatenated"
13	"NCBI Strain GCF_004924255.1_ASM492425v1_genomic_concatenated"
14	"NCBI Strain GCF_004924275.1_ASM492427v1_genomic_concatenated"
15	"NCBI Strain GCF_004924355.1_ASM492435v1_genomic_concatenated"
16	"NCBI Strain GCF_005014055.1_ASM501405v1_genomic_concatenated"
17	"NCBI Strain GCF_005014075.1_ASM501407v1_genomic_concatenated"
18	"NCBI Strain GCF_005037715.1_ASM503771v2_genomic_concatenated"
19	"NCBI Strain GCF_005037725.1_ASM503772v2_genomic_concatenated"
20	"NCBI Strain GCF_005037735.1_ASM503773v2_genomic_concatenated"
21	"NCBI Strain GCF_005037775.1_ASM503777v2_genomic_concatenated"
22	"NCBI Strain GCF_005037795.1_ASM503779v2_genomic_concatenated"
23	"NCBI Strain GCF_005037805.1_ASM503780v2_genomic_concatenated"
24	"NCBI Strain GCF_005037815.1_ASM503781v2_genomic_concatenated"
25	"NCBI Strain GCF_005037845.1_ASM503784v2_genomic_concatenated"
26	"NCBI Strain GCF_005156265.1_ASM515626v1_genomic_concatenated"
27	"NCBI Strain GCF_005221505.1_ASM522150v1_genomic_concatenated"
28	"NCBI Strain GCF_005221525.1_ASM522152v1_genomic_concatenated"
29	"NCBI Strain GCF_005221545.1_ASM522154v1_genomic_concatenated"
30	"NCBI Strain GCF_005221565.1_ASM522156v1_genomic_concatenated"
31	"NCBI Strain GCF_005221585.1_ASM522158v1_genomic_concatenated"
32	"NCBI Strain GCF_005221605.1_ASM522160v1_genomic_concatenated"
33	"NCBI Strain GCF_005221625.1_ASM522162v1_genomic_concatenated"
34	"NCBI Strain GCF_005221645.1_ASM522164v1_genomic_concatenated"
35	"NCBI Strain GCF_005221665.1_ASM522166v1_genomic_concatenated"
36	"NCBI Strain GCF_005221685.1_ASM522168v1_genomic_concatenated"
37	"NCBI Strain GCF_005221705.1_ASM522170v1_genomic_concatenated"
38	"NCBI Strain GCF_005221725.1_ASM522172v1_genomic_concatenated"
39	"NCBI Strain GCF_005221745.1_ASM522174v1_genomic_concatenated"
40	"NCBI Strain GCF_005221765.1_ASM522176v1_genomic_concatenated"
